# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 100000
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 100000
DATA ascii
-0.03496657 0.02010007 -0.02029865
-0.01101857 -0.06932922 0.1452822
0.01656878 0.006452686 -0.03425763
-0.06060534 0.01370229 0.01873826
0.04784619 0.1045641 0.05393457
-0.01666335 -0.1065273 -0.01123514
0.06223096 0.02697452 0.05011715
0.02619614 -0.04788292 0.1432191
0.06287053 0.01993132 0.07041021
0.006968417 0.04714777 -0.0348077
-0.02186701 -0.03632043 -0.02009768
0.007473514 -0.09582622 0.1343198
0.07444526 -0.032212 0.07634857
-0.05042962 -0.07245542 0.1262689
0.04637668 -0.05670983 -0.01654834
0.05310114 0.0910811 0.06088392
0.04096778 0.06757814 0.03362627
0.01845255 0.07894353 -0.003286865
-0.01993016 -0.06574315 -0.03150902
0.08867619 -0.031566 0.07335734
0.05723669 -0.05946789 0.1224161
-0.02379632 -0.02151333 -0.02195117
0.02230563 0.08954418 0.02753451
-0.06277321 0.005129303 0.08388825
0.01141652 0.08172248 -0.003129863
-0.06759881 -0.01499244 0.02481859
-0.06190244 0.01672003 0.05073563
0.06766294 0.001511761 0.07873946
-0.04234893 -0.0108183 0.1259853
-0.02502224 -0.05148902 -0.02832574
-0.04279943 0.06946929 0.09933896
-0.02807727 0.08086314 0.02622608
0.05610085 -0.06848155 0.004809205
-0.007046381 -0.08157685 -0.02731382
-0.04369431 0.01844305 0.1050932
-0.0100302 0.1140166 0.02754097
-0.05778617 -0.1095411 0.07339483
0.0147997 -0.02450725 0.1434735
0.07541777 -0.06555584 0.08266882
0.01237682 -0.1072131 -0.01029887
0.01216257 0.03106653 -0.03398997
-0.03436886 -0.1215455 0.09058605
-0.07267547 -0.08169039 0.08087301
0.05016584 0.05858754 0.05072054
-0.01921578 0.07572746 -0.01630968
-0.06900072 -0.06116818 0.1036224
0.06987543 0.01365387 0.05060535
-0.05742037 -0.0003212681 0.1022435
0.06945829 -0.01849755 0.09514255
-0.07208223 -0.05269884 0.0975308
-0.05786806 0.02873529 0.05687951
-5.020571e-05 -0.1097106 -0.009695531
0.04543778 0.06169563 0.03751769
-0.0463084 -0.02633158 0.1285127
0.06166613 0.01654349 0.02051156
0.05268477 -0.107945 0.03306245
-0.01323036 0.04015159 -0.02659948
0.006662918 0.01521913 -0.04342698
-0.02091831 0.03953582 -0.03215407
0.02482342 -0.0760797 -0.02398153
0.02631995 0.08112032 0.02681444
0.04800574 0.01391804 0.1061522
-0.07883953 -0.0256595 0.06205265
-0.07315036 -0.03177269 0.07306278
-0.009649378 -0.1236419 0.1006949
-0.0009654702 -0.124752 0.1000744
-0.03826853 0.07128181 0.03446285
-0.0002540362 -0.1197487 0.1101687
-0.06076767 0.003334801 0.09152981
-0.0434436 0.001094447 0.1187978
-0.0537068 0.05423358 0.06290674
0.06020243 -0.05840412 0.1188153
0.06942718 -0.04031894 0.1045101
-0.01456087 -0.1093275 -0.008506493
-0.03819517 -0.02645676 -0.01358819
-0.04243654 0.04418253 -0.002850484
0.02664642 0.004909636 0.1283504
0.0517194 0.02342178 0.09551295
0.02815074 -0.08586125 -0.01872603
-0.01654494 0.06856836 -0.0272368
-0.06697448 -0.01690625 0.0957789
0.01440273 -0.02061448 0.142568
-0.05279746 -0.1147076 0.06477491
-0.0696364 -0.09150602 0.05591384
0.04423824 0.001367865 -0.01292346
-0.02796692 -0.1238144 0.02856319
-0.03653103 -0.05457513 0.1378471
-0.07239078 -0.08504818 0.07762475
-0.07108877 -0.01411822 0.06015309
-0.00754625 0.1030251 0.02182158
0.0540877 -0.08549056 0.009659379
-0.0260198 0.03722771 -0.02697105
-0.05696592 -0.1051496 0.09241163
0.07611834 -0.05800879 0.08421484
-0.06596586 -0.04013811 0.1089965
0.01994774 -0.0587419 -0.03212967
-0.03431628 -0.08810366 0.130791
-0.07057419 -0.07690993 0.09434915
-0.001933874 0.0837885 0.009511193
0.05577696 -0.1080853 0.04228903
0.0007017201 -0.103771 0.1290609
-0.0387124 0.07411488 0.038305
0.08251318 0.006815241 0.06525679
0.0740638 -0.04586062 0.05924517
0.07598589 -0.05150494 0.08243378
-0.07456271 -0.06884631 0.08418921
-0.01448663 0.033818 -0.03707364
-0.06832576 -0.03716251 0.02749997
0.01370728 0.03786266 -0.02787535
0.01911005 0.1089701 0.03246607
-0.05085748 -0.06757697 -0.005687658
-0.04204581 -0.03126961 0.1327033
0.03753098 -0.06101448 -0.02266681
0.03174537 -0.1268819 0.06439603
0.006262792 0.03729199 -0.04082321
