# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
-0.03496657 0.02010007 -0.02029865
0.01656878 0.006452686 -0.03425763
0.006968417 0.04714777 -0.0348077
-0.02186701 -0.03632043 -0.02009768
0.04637668 -0.05670983 -0.01654834
-0.01993016 -0.06574315 -0.03150902
-0.02379632 -0.02151333 -0.02195117
-0.02502224 -0.05148902 -0.02832574
0.01216257 0.03106653 -0.03398997
-0.01921578 0.07572746 -0.01630968
-0.01323036 0.04015159 -0.02659948
0.006662918 0.01521913 -0.04342698
-0.02091831 0.03953582 -0.03215407
-0.03819517 -0.02645676 -0.01358819
-0.01654494 0.06856836 -0.0272368
0.04423824 0.001367865 -0.01292346
-0.0260198 0.03722771 -0.02697105
0.01994774 -0.0587419 -0.03212967
-0.01448663 0.033818 -0.03707364
0.01370728 0.03786266 -0.02787535
-0.05085748 -0.06757697 -0.005687658
0.03753098 -0.06101448 -0.02266681
0.006262792 0.03729199 -0.04082321
0.03578679 -0.06229473 -0.02341789
0.01316289 -0.01042318 -0.03244605
0.02828186 0.04268771 -0.02298771
-0.01875942 0.02934962 -0.02654287
0.01345024 0.06790326 -0.0267165
0.03885012 0.01369643 -0.01712345
0.0107064 -0.02481853 -0.02999614
0.05027408 -0.04463755 -0.01041756
0.03185545 -0.06041903 -0.02674
-0.02517408 0.0484128 -0.02449944
-0.01664478 -0.06250307 -0.03309477
-0.01238969 0.05596173 -0.03033344
-0.02059024 0.0638947 -0.0259563
-0.02960575 -0.04549108 -0.02406801
-0.04097743 -0.03414978 -0.0147704
0.004722115 -0.03280031 -0.03628833
-0.02245751 0.01793969 -0.03255954
0.04875872 -0.008469685 -0.009807806
-0.0240708 0.06563409 -0.02284719
-0.02647612 0.06283357 -0.02097546
0.0352282 -0.001793736 -0.01933893
-0.003442739 -0.01199891 -0.05568685
-0.005965383 -0.02204038 -0.04079719
0.02531524 -0.02236804 -0.02151989
0.003081571 0.004637401 -0.05444837
0.03984435 -0.05682211 -0.02223723
0.04669696 -0.07737859 -0.005323415
0.001173692 -0.001118332 -0.06270145
-0.0005146027 -0.05715196 -0.03528517
0.0393997 -0.01767373 -0.01656084
0.05116848 -0.04956581 -0.01072978
0.04537778 -0.04381533 -0.01630848
-0.01015386 -0.003345581 -0.05208145
-0.003991276 -0.06254622 -0.03451626
0.03192323 0.004095061 -0.02240562
0.02009979 0.04316217 -0.03039129
0.01377628 0.05875472 -0.02803137
0.04033196 0.02683508 -0.0138352
-0.002782753 -0.003231132 -0.0618992
0.04311039 -0.05209392 -0.02051772
0.0005428901 0.01258013 -0.04712885
-0.0304781 -0.07265877 -0.0238571
-0.009131883 0.0003501298 -0.05324427
0.000926269 -0.01624379 -0.05300179
0.008102764 -0.0001046126 -0.05367389
-0.002424641 0.04984409 -0.03392354
0.03906682 -0.06008382 -0.02187336
0.005405056 -0.00587887 -0.04507465
-0.02750066 -0.0603141 -0.02963535
-0.03519169 -0.02392835 -0.01930828
0.03921643 -0.06780596 -0.01788065
0.03383164 0.05686141 -0.01052523
-0.005754698 -0.009005581 -0.05618507
0.01400959 -0.0006156446 -0.04102366
0.003449911 -0.03431567 -0.03761239
0.02837401 -0.03592171 -0.0161236
-0.02185049 -0.04528053 -0.02456959
-0.04072914 -0.0694508 -0.01692131
0.03151222 0.04537343 -0.01867303
-0.0009731595 0.0649175 -0.03169435
-0.007923421 0.01895996 -0.04269997
-0.02861388 -0.0508447 -0.02700066
0.01047408 -0.0570234 -0.0345022
0.02550022 -0.06687972 -0.02773177
0.0006772815 0.02940435 -0.04268369
0.00141007 0.004327947 -0.06008079
0.01036501 0.07564805 -0.02153335
-0.02100527 -0.06895669 -0.02991293
0.03696387 -0.05742672 -0.02413932
0.007383522 -0.01348108 -0.04692155
0.002406786 0.05177357 -0.03282358
-0.05618607 -0.05160528 -0.00168388
0.01448143 -0.06503844 -0.03220032
0.009424147 0.07868842 -0.01423138
-0.002509067 0.02890771 -0.04272882
0.01004101 -0.06197828 -0.03382748
-0.006651897 0.03421066 -0.03331003
0.0206946 -0.01373303 -0.0242044
0.002197768 -0.01304347 -0.05513012
0.007982485 0.02670114 -0.0285217
-0.03005621 -0.0604847 -0.02845107
0.03222265 -0.0359405 -0.01367315
-0.01578485 -0.0007182661 -0.03208164
0.03450087 0.03738069 -0.01929295
-0.05117533 -0.04255497 -0.009260658
-0.005159918 0.02731991 -0.04294861
-0.01407928 -0.0459037 -0.02787576
